# DNS Servers List
# Format: NAME|IP_ADDRESS
#
# This file contains a list of DNS servers to use for DNS checks and propagation tests
# Fields are separated by the pipe character (|)

# Major public DNS providers
Cloudflare|1.1.1.1
Cloudflare Secondary|1.0.0.1
Google|8.8.8.8
Google Secondary|8.8.4.4
OpenDNS|208.67.222.222
OpenDNS Secondary|208.67.220.220
Quad9|9.9.9.9
Quad9 Secondary|149.112.112.112
Level3|4.2.2.2
Level3 Secondary|4.2.2.1
Comodo|8.26.56.26
Comodo Secondary|8.20.247.20
CleanBrowsing|185.228.168.9
CleanBrowsing Secondary|185.228.169.9
AdGuard|94.140.14.14
AdGuard Secondary|94.140.15.15
Verisign|64.6.64.6
Verisign Secondary|64.6.65.6 
